,evaluations,expectation value (real w/ mitigation),expectation value (imag w/ mitigation),expectation value (real),expectation value (imag),expectation value (sim/real),expectation value (sim/imag),expectation value (theory/real),expectation value (theory/imag)
0,-6.283185307179587,0.9686377629553613,0.090815802975885,0.94647216796875,0.111083984375,0.9550146552822738,-0.010641009302918341,0.9999999999999999,1.286498119741309e-15
1,-6.220353454107791,0.8230502821959976,-0.04816572601334016,0.80792236328125,-0.02117919921875,0.7942525806040527,-0.10641009302918301,0.9873304509707477,-0.12478418357437243
2,-6.157521601035995,0.8564648537711644,-0.11666239096972802,0.8397216796875,-0.08636474609375,0.7852682553842235,-0.2030075187969925,0.9499323250209447,-0.24434930376818878
3,-6.094689747964199,0.7927783478707027,-0.27860441251924056,0.77911376953125,-0.240478515625,0.7372244169746403,-0.30807952083598833,0.8896017505611843,-0.35376288617338153
4,-6.031857894892403,0.6709851205746534,-0.5472678296562338,0.6632080078125,-0.49615478515625,0.6729960494456482,-0.3979227730342807,0.8092163386272091,-0.44864827890687714
5,-5.969026041820608,0.7023473576192917,-0.44888404309902513,0.69305419921875,-0.40252685546875,0.5828979227730344,-0.4272333375812413,0.7125687734027379,-0.5254202555453078
6,-5.906194188748811,0.4652385838891737,-0.676629040533607,0.4674072265625,-0.6192626953125,0.5000637186185806,-0.5029310564546962,0.6041483469132931,-0.5814728049761592
7,-5.843362335677016,0.509684453565931,-0.5684966649563878,0.50970458984375,-0.516357421875,0.4006626736332356,-0.5068816108066778,0.4888838519338667,-0.6153078997694307
8,-5.7805304826052195,0.39199589533093876,-0.6115315546434068,0.397705078125,-0.55731201171875,0.3166815343443356,-0.5474703708423602,0.37186359427697807,-0.626597703685901
9,-5.717698629533424,0.33722421754746007,-0.3724345818368394,0.3455810546875,-0.32977294921875,0.2028800815598318,-0.5208997068943546,0.25804964863012314,-0.6161768129781724
10,-5.6548667764616285,0.18413288866085156,-0.46767573114417643,0.19989013671875,-0.42041015625,0.10883140053523631,-0.47699757869249404,0.1520037765277672,-0.5859654662124222
11,-5.592034923389832,0.2711646998460748,-0.41623909697280653,0.28271484375,-0.3714599609375,0.04046132279852179,-0.46164139161462986,0.05764163343501494,-0.5388289316251611
12,-5.529203070318037,0.10941508465879929,-0.3676885582349922,0.1287841796875,-0.32525634765625,-0.018924429718363674,-0.4020644832420033,-0.021969935044919838,-0.4783822219582056
13,-5.46637121724624,-0.06464853771164696,-0.36416110826064635,-0.036865234375,-0.3218994140625,-0.06798776602523263,-0.3398113928890022,-0.08476045457423381,-0.4087526477558139
14,-5.403539364174445,0.008081067213955904,-0.30496408414571574,0.0323486328125,-0.26556396484375,-0.12501592965464514,-0.2854594112399643,-0.12973968115070963,-0.3343152912447848
15,-5.340707511102649,-0.07426885582349911,-0.23159312467932258,-0.0460205078125,-0.19573974609375,-0.13973493054670577,-0.21109978335669696,-0.157013217847181,-0.25941810382771535
16,-5.277875658030853,-0.11063365828630053,-0.17945100051308363,-0.08062744140625,-0.1461181640625,-0.15999745125525675,-0.15247865426277563,-0.16772964293495007,-0.18811390032495634
17,-5.215043804959057,-0.1541174961518728,-0.10979989738327336,-0.12200927734375,-0.079833984375,-0.14419523384733024,-0.0985089843252198,-0.16396320070201845,-0.1239160078714462
18,-5.152211951887261,-0.10409184197024109,-0.08562083119548493,-0.07440185546875,-0.05682373046875,-0.11590416719765512,-0.05747419395947502,-0.14854013781482386,-0.06959276047571505
19,-5.089380098815465,-0.15398922524371464,-0.07984864032837351,-0.12188720703125,-0.05133056640625,-0.11201733146425401,-0.027335287370969807,-0.12482028050811879,-0.0270135114048975
20,-5.026548245743669,-0.11839404822986155,0.02494869163673668,-0.0880126953125,0.04840087890625,-0.08551038613482874,0.01006754173569519,-0.09644822097221047,0.002944475729776859
21,-4.9637163926718735,0.007439712673165674,-0.010903027193432608,0.03173828125,0.0142822265625,-0.05983178284694793,0.014081814706257141,-0.06709034141665501,0.02042279081646404
22,-4.900884539600078,-0.006349409953822491,-0.0012185736275012178,0.01861572265625,0.02349853515625,-0.03625589397221875,0.023703326111889977,-0.04017473532706713,0.026541061564778833
23,-4.838052686528282,0.0030785017957927195,0.08792970754232933,0.027587890625,0.10833740234375,-0.03134956034153187,0.02516885433923789,-0.018650836107686725,0.023291626288318754
24,-4.775220833456486,0.059902514109799826,0.03181118522319136,0.0816650390625,0.054931640625,-0.007518796992481262,-0.0010832165158659595,-0.004784250343730381,0.013376864850546722
25,-4.71238898038469,0.03585171883016934,0.0060928681375063114,0.05877685546875,0.03045654296875,-0.01656684083089078,-0.0002548744743213761,6.938893903907228e-18,-4.0821559971578395e-17
26,-4.649557127312894,0.005579784504874283,-0.03707029245767062,0.02996826171875,-0.0106201171875,0.002612463361794272,-0.009748948642793524,-0.004784250343730218,-0.013376864850546618
27,-4.586725274241099,0.016033863519753715,0.021164699846074875,0.0399169921875,0.0447998046875,-0.019625334522747624,-0.026188352236523448,-0.01865083610768665,-0.023291626288318698
28,-4.523893421169302,0.032195997947665464,0.01436634171369932,0.0552978515625,0.038330078125,-0.037402829106664995,-0.033452274754683445,-0.04017473532706692,-0.02654106156477882
29,-4.461061568097507,-0.09787070292457674,-0.02687275525910725,-0.0684814453125,-0.00091552734375,-0.05874856633108196,-0.010641009302918341,-0.06709034141665478,-0.02042279081646412
30,-4.39822971502571,-0.13513340174448427,-0.016097998973832843,-0.10394287109375,0.00933837890625,-0.09079903147699757,0.00031859309290172016,-0.09644822097221062,-0.0029444757297767063
31,-4.335397861953915,-0.0300795279630579,-0.02475628527449974,-0.00396728515625,0.0010986328125,-0.09130878042564032,0.011851663055944877,-0.12482028050811858,0.02701351140489722
32,-4.272566008882119,-0.12429451000513075,0.09363776295536176,-0.0936279296875,0.11376953125,-0.12941251433668916,0.05231298585446666,-0.14854013781482367,0.06959276047571465
33,-4.209734155810323,-0.189584402257568,0.035146228835300206,-0.15576171875,0.05810546875,-0.13979864916528612,0.09838154708805917,-0.16396320070201842,0.12391600787144572
34,-4.1469023027385274,-0.2087609030271934,0.11865059004617745,-0.17401123046875,0.1375732421875,-0.1469988530648656,0.1391614629794825,-0.16772964293495007,0.18811390032495579
35,-4.084070449666731,-0.12666752180605428,0.17464084145715755,-0.09588623046875,0.19085693359375,-0.1482095068178922,0.20275264432267112,-0.1570132178471812,0.25941810382771485
36,-4.0212385965949355,-0.020523345305284758,0.23787839917906617,0.005126953125,0.25103759765625,-0.12813814196508228,0.2770485535873582,-0.12973968115071,0.3343152912447842
